No	CAS	SMILES	Status	Experimental
1	n.a.	S(=O)(=O)(O)c1ccc(C(CCCCCCCCCC)C)cc1	Training	0.34
2	n.a.	OCCOCCOCCOCCOCCOCCOCCOCCOCCCCCCCCCCCCC	Training	-0.61
3	n.a.	S(=O)(=O)(O)c1ccc(C(CCCCCCC)CCCC)cc1	Training	0.08
4	n.a.	FC(F)(Oc1ccc(cc1)C(C)(CC(C)C)c2ccc(OC(F)(F)C(F)F)cc2)C(F)F	Training	2.61
5	n.a.	FC(F)(Oc1ccc(cc1)C(c2ccc(OC(F)(F)C(F)F)cc2)C(CC)CCCC)C(F)F	Training	2.44
6	n.a.	FC(F)(Oc1ccc(cc1)C(C)(C)CC(C)(C)C)C(F)F	Training	0.36
7	n.a.	FC(F)(Oc1ccc(cc1)CCCCCCC)C(F)F	Training	0.29
8	2-35-5	S=P(OC)(OC)Oc1c(C(#N))cc(Cl)cc1	Training	0.65
9	37-99-2	c1cc(c(cc1Oc2ccc(cc2Br)Br)Br)Br	Training	1.43
10	39-08-8	O(c1c(cc(c(c1)Br)Br)Br)c1c(cc(c(c1)Br)Br)Br	Training	2.01
11	50-29-3	c(ccc(c1)Cl)(c1)C(c(ccc(c2)Cl)c2)C(Cl)(Cl)Cl 	Training	1.93
12	50-32-8	c(c(c(cc1)ccc2)c2cc3)(c3cc(c4ccc5)c5)c14 	Training	0.05
13	53-70-3	c(c(c(c(c1)ccc2)c2)cc(c3c(c(c4)ccc5)c5)c4)(c1)c3	Training	0.21
14	55-38-9	COP(=S)(OC)Oc1ccc(SC)c(C)c1 	Training	-0.36
15	56-38-2	CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O 	Training	-0.41
16	58-89-9	C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl	Training	1.60
17	60-29-7	O(CC)CC 	Training	-0.70
18	60-51-5	O=C(NC)CSP(OC)(OC)=S 	Training	-1.01
19	60-57-1	ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl 	Training	1.72
20	62-44-2	CC(=O)Nc1ccc(OCC)cc1 	Training	-0.55
21	62-53-3	Nc(cccc1)c1 	Training	-0.78
22	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl 	Training	0.76
23	71-55-6	C(Cl)(Cl)(Cl)C 	Training	-1.39
24	72-54-8	ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2	Training	2.44
25	72-55-9	ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2 	Training	1.71
26	75-09-2	ClCCl 	Training	-0.51
27	75-25-2	BrC(Br)Br 	Training	-0.70
28	75-35-4	C(=C)(Cl)Cl 	Training	-0.72
29	76-83-5	c(cccc1)(c1)C(c(cccc2)c2)(c(cccc3)c3)Cl 	Training	-0.15
30	78-30-8	O=P(Oc(c(ccc1)C)c1)(Oc(c(ccc2)C)c2)Oc(c(ccc3)C)c3 	Training	0.50
31	78-40-0	O=P(OCC)(OCC)OCC 	Training	-1.09
32	78-59-1	O=C(C=C(CC1(C)C)C)C1 	Training	-1.29
33	78-63-7	O(OC(C)(C)C)C(CCC(OOC(C)(C)C)(C)C)(C)C	Training	0.77
34	78-79-5	C(C=C)(=C)C 	Training	-0.61
35	78-87-5	ClCC(Cl)C 	Training	-1.06
36	79-01-6	C(=CCl)(Cl)Cl 	Training	-0.41
37	79-34-5	C(C(Cl)Cl)(Cl)Cl 	Training	-0.67
38	79-46-9	N(=O)(=O)C(C)C 	Training	-1.20
39	80-05-7	Oc(ccc(c1)C(c(ccc(O)c2)c2)(C)C)c1 	Training	0.27
40	80-43-3	O(OC(c(cccc1)c1)(C)C)C(c(cccc2)c2)(C)C 	Training	-0.01
41	81-03-8	c12c(ccc(C)c1)C(CC2(C)C)(C)C	Training	0.69
42	82-45-1	O=C(c(c(c(N)cc1)C(=O)c2cccc3)c1)c23 	Training	-0.59
43	82-68-8	O=N(=O)c(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl 	Training	-0.17
44	83-79-4	COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 	Training	-0.59
45	84-74-2	O=C(OCCCC)c(c(ccc1)C(=O)OCCCC)c1 	Training	-0.40
46	85-68-7	O=C(OCc(cccc1)c1)c(c(ccc2)C(=O)OCCCC)c2 	Training	-1.03
47	86-30-6	O=NN(c(cccc1)c1)c(cccc2)c2 	Training	-0.91
48	86-73-7	c(c(c(c1ccc2)c2)ccc3)(c3)C1	Training	0.70
49	86-74-8	n(c(c(c1cccc2)ccc3)c3)c12 	Training	0.06
50	87-61-6	c(c(c(cc1)Cl)Cl)(c1)Cl 	Training	0.92
51	87-68-3	C(=C(C(=C(Cl)Cl)Cl)Cl)(Cl)Cl 	Training	2.07
52	87-82-1	c(c(c(c(c1Br)Br)Br)Br)(c1Br)Br 	Training	0.43
53	87-83-2	c(c(c(c(c1Br)Br)Br)Br)(c1Br)C 	Training	-0.13
54	87-84-3	BrC(C(C(Br)C(Br)C1Br)Cl)C1Br 	Training	-0.31
55	87-86-5	Oc(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl 	Training	-0.20
56	88-06-2	Oc(c(cc(c1)Cl)Cl)c1Cl 	Training	-0.57
57	88-19-7	O=S(=O)(N)c(c(ccc1)C)c1 	Training	-0.89
58	88-72-2	N(=O)(=O)c(c(ccc1)C)c1 	Training	-0.48
59	88-74-4	N(=O)(=O)c(c(N)ccc1)c1 	Training	-0.46
60	88-98-2	O=C(O)C(C(C(=O)O)CC=C1)C1 	Training	-0.57
61	89-61-2	O=N(=O)c(c(ccc1Cl)Cl)c1 	Training	0.56
62	89-69-0	O=N(=O)c(c(cc(c1Cl)Cl)Cl)c1 	Training	-0.64
63	90-41-5	Nc(c(c(cccc1)c1)ccc2)c2 	Training	-1.06
64	90-94-8	O=C(c(ccc(N(C)C)c1)c1)c(ccc(N(C)C)c2)c2 	Training	-0.77
65	91-15-6	C(#N)c(c(C(#N))ccc1)c1 	Training	-0.67
66	91-20-3	c(c(ccc1)ccc2)(c1)c2 	Training	0.41
67	91-22-5	n(c(c(ccc1)cc2)c1)c2 	Training	-1.33
68	91-23-6	O=N(=O)c(c(OC)ccc1)c1 	Training	-1.04
69	91-57-6	c(c(ccc1C)ccc2)(c2)c1 	Training	0.88
70	91-94-1	Nc(c(cc(c(ccc(N)c1Cl)c1)c2)Cl)c2 	Training	-0.13
71	91-96-3	O=C(Nc(c(cc(c(ccc(NC(=O)CC(=O)C)c1C)c1)c2)C)c2)CC(=O)C 	Training	-1.50
72	92-51-3	C(C(CCCC1)C1)(CCCC2)C2	Training	0.38
73	92-69-3	Oc(ccc(c(cccc1)c1)c2)c2 	Training	-0.81
74	92-84-2	N(c(c(Sc1cccc2)ccc3)c3)c12 	Training	0.04
75	92-86-4	c(ccc(c(ccc(c1)Br)c1)c2)(c2)Br 	Training	1.57
76	94-52-0	N(=O)(=O)c(ccc(ncn1)c12)c2 	Training	-1.15
77	95-16-9	c1ccc2ncsc2c1 	Training	-0.86
78	95-48-7	Oc(c(ccc1)C)c1 	Training	-0.52
79	95-49-8	c(c(ccc1)Cl)(c1)C 	Training	-0.72
80	95-50-1	c(c(ccc1)Cl)(c1)Cl 	Training	0.50
81	95-51-2	Nc(c(ccc1)Cl)c1 	Training	-0.61
82	95-56-7	C1=CC=C(C(=C1)O)Br	Training	-0.24
83	95-57-8	Oc(c(ccc1)Cl)c1 	Training	-0.38
84	95-64-7	Nc(ccc(c1C)C)c1 	Training	-0.99
85	95-76-1	Nc(ccc(c1Cl)Cl)c1 	Training	-1.09
86	95-82-9	Nc(c(ccc1Cl)Cl)c1 	Training	-1.13
87	95-94-3	c(c(cc(c1Cl)Cl)Cl)(c1)Cl 	Training	1.79
88	96-18-4	ClCC(Cl)CCl 	Training	-0.53
89	96-76-4	Oc(c(cc(c1)C(C)(C)C)C(C)(C)C)c1 	Training	-0.37
90	98-08-8	FC(F)(F)c(cccc1)c1 	Training	-0.48
91	98-10-2	O=S(=O)(N)c(cccc1)c1 	Training	-0.71
92	98-84-0	CC(N)c1ccccc1	Training	-0.90
93	98-95-3	N(=O)(=O)c(cccc1)c1 	Training	-0.93
94	99-71-8	Oc(ccc(c1)C(CC)C)c1 	Training	-0.84
95	99-99-0	N(=O)(=O)c(ccc(c1)C)c1 	Training	-1.01
96	100-00-5	N(=O)(=O)c(ccc(c1)Cl)c1 	Training	-0.48
97	100-01-6	N(=O)(=O)c(ccc(N)c1)c1 	Training	-0.51
98	100-17-4	O=N(=O)c(ccc(OC)c1)c1 	Training	-0.95
99	100-61-8	N(c(cccc1)c1)C 	Training	-0.88
100	101-14-4	Nc(c(cc(c1)Cc(ccc(N)c2Cl)c2)Cl)c1 	Training	-0.15
101	101-53-1	Oc(ccc(c1)Cc(cccc2)c2)c1 	Training	-0.86
102	101-84-8	O(c(cccc1)c1)c(cccc2)c2 	Training	-0.09
103	103-44-6	O(CC(CCCC)CC)C=C 	Training	0.95
104	104-72-3	c(cccc1)(c1)CCCCCCCCCC	Training	0.63
105	104-88-1	O=Cc(ccc(c1)Cl)c1 	Training	0.01
106	105-06-6	c(ccc(c1)C=C)(c1)C=C	Training	0.50
107	106-43-4	c(ccc(c1)Cl)(c1)C 	Training	-0.83
108	106-46-7	c(ccc(c1)Cl)(c1)Cl 	Training	1.10
109	106-93-4	BrCCBr 	Training	-0.83
110	107-05-1	C(=C)CCl 	Training	-0.93
111	108-36-1	c(cccc1Br)(c1)Br 	Training	1.16
112	108-42-9	Nc(cccc1Cl)c1 	Training	-0.71
113	108-57-6	c(cccc1C=C)(c1)C=C	Training	0.59
114	108-67-8	c(cc(cc1C)C)(c1)C 	Training	0.40
115	108-70-3	c(cc(cc1Cl)Cl)(c1)Cl 	Training	1.19
116	108-86-1	c(cccc1)(c1)Br 	Training	-1.19
117	108-90-7	c(cccc1)(c1)Cl 	Training	-1.02
118	109-09-1	n(c(ccc1)Cl)c1 	Training	-0.85
119	110-00-9	O1C=CC=C1 	Training	-0.84
120	110-82-7	C(CCCC1)C1 	Training	-0.66
121	111-44-4	O(CCCl)CCCl 	Training	-0.81
122	112-40-3	C(CCCCCCCCCC)C	Training	0.26
123	112-41-4	C(=C)CCCCCCCCCC	Training	0.83
124	115-32-2	OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl 	Training	1.99
125	115-86-6	O=P(Oc(cccc1)c1)(Oc(cccc2)c2)Oc(cccc3)c3 	Training	-0.76
126	115-96-8	O=P(OCCCl)(OCCCl)OCCCl 	Training	-0.66
127	117-18-0	Clc1cc(Cl)c(Cl)c(N(=O)=O)c1Cl 	Training	0.49
128	117-81-7	O=C(OCC(CCCC)CC)c(c(ccc1)C(=O)OCC(CCCC)CC)c1 	Training	0.44
129	118-44-5	N(c(c(c(ccc1)cc2)c1)c2)CC 	Training	0.43
130	118-74-1	c(c(c(c(c1Cl)Cl)Cl)Cl)(c1Cl)Cl 	Training	2.44
131	119-12-0	S=P(OCC)(OCC)OC1=NN(c2ccccc2)C(=O)C=C1 	Training	-0.70
132	119-47-1	Oc(c(cc(c1)C)Cc(c(O)c(cc2C)C(C)(C)C)c2)c1C(C)(C)C 	Training	0.03
133	119-56-2	OC(c(cccc1)c1)c(ccc(c2)Cl)c2 	Training	-0.89
134	119-64-2	c(c(ccc1)CCC2)(c1)C2 	Training	0.75
135	120-12-7	c(c(ccc1)cc(c2ccc3)c3)(c1)c2	Training	0.65
136	120-71-8	O(c(c(N)cc(c1)C)c1)C 	Training	-1.00
137	120-78-5	N(c(c(S1)ccc2)c2)=C1SSC(=Nc(c3ccc4)c4)S3 	Training	-0.91
138	120-83-2	Oc(c(cc(c1)Cl)Cl)c1 	Training	-0.94
139	121-69-7	N(c(cccc1)c1)(C)C 	Training	-0.96
140	122-14-5	COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1 	Training	0.03
141	122-34-9	n(c(nc(n1)NCC)NCC)c1Cl 	Training	-0.94
142	122-39-4	N(c(cccc1)c1)c(cccc2)c2 	Training	0.35
143	123-48-8	C(C)(C)(C)C=C(C)CC(C)(C)C	Training	0.70
144	124-11-8	C(=C)CCCCCCC 	Training	0.52
145	126-73-8	O=P(OCCCC)(OCCCC)OCCCC 	Training	-0.76
146	127-90-2	C(C(C(Cl)(Cl)Cl)Cl)OCC(C(Cl)(Cl)Cl)Cl	Training	1.04
147	128-37-0	Oc(c(cc(c1)C)C(C)(C)C)c1C(C)(C)C 	Training	0.32
148	132-64-9	o(c(c(c1cccc2)ccc3)c3)c12 	Training	1.35
149	135-88-6	N(c(ccc(c1ccc2)c2)c1)c(cccc3)c3 	Training	-0.41
150	137-26-8	N(C(=S)SSC(N(C)C)=S)(C)C 	Training	-1.18
151	140-66-9	Oc(ccc(c1)C(CC(C)(C)C)(C)C)c1	Training	-0.04
152	141-93-5	c(cccc1CC)(c1)CC 	Training	0.09
153	142-96-1	O(CCCC)CCCC 	Training	-0.25
154	144-19-4	OCC(C(O)C(C)C)(C)C 	Training	-1.34
155	156-43-4	O(c(ccc(N)c1)c1)CC 	Training	-1.24
156	208-96-8	c1ccc2cccc3c2c1C=C3 	Training	0.52
157	214-17-5	c1cc2cc3c4ccc5ccccc5c4ccc3cc2cc1	Training	0.58
158	217-59-4	c1ccc2c3ccccc3c4ccccc4c2c1	Training	-0.08
159	218-01-9	c1ccc2ccc3c4ccccc4ccc3c2c1	Training	0.59
160	226-36-8	c1ccc4c(c1)ccc5nc2c(ccc3ccccc23)cc45 	Training	-0.14
161	243-17-4	c1ccc2c3cc4ccccc4cc3Cc2c1	Training	-0.39
162	294-62-2	C(CCCCCCCCCC1)C1 	Training	1.33
163	298-00-0	COP(=S)(OC)Oc1ccc(cc1)N(=O)=O 	Training	0.55
164	298-04-4	CCOP(=S)(OCC)SCCSCC 	Training	0.03
165	314-40-9	N1C(=O)N(C(C)CC)C(=O)C(Br)=C1C 	Training	-1.33
166	319-86-8	C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl	Training	1.70
167	320-60-5	FC(F)(F)c(c(cc(c1)Cl)Cl)c1 	Training	1.81
168	328-84-7	FC(F)(F)c(ccc(c1Cl)Cl)c1 	Training	1.52
169	330-54-1	O=C(N(C)C)Nc(ccc(c1Cl)Cl)c1 	Training	-1.45
170	330-55-2	O=C(N(OC)C)Nc(ccc(c1Cl)Cl)c1 	Training	-0.97
